方法:get  	对象:window	  属性:window	  属性类型:string	  属性值类型:object
方法:get  	对象:window	  属性:window	  属性类型:string	  属性值类型:object
方法:get  	对象:window	  属性:RegExp	  属性类型:string	  属性值类型:function
方法:get  	对象:window	  属性:Array	  属性类型:string	  属性值类型:function
方法:get  	对象:window	  属性:Function	  属性类型:string	  属性值类型:function
方法:get  	对象:window	  属性:parseInt	  属性类型:string	  属性值类型:function
方法:get  	对象:window	  属性:encodeURIComponent	  属性类型:string	  属性值类型:function
方法:get  	对象:window	  属性:window	  属性类型:string	  属性值类型:object
方法:get  	对象:window	  属性:toString	  属性类型:string	  属性值类型:function
方法:get  	对象:window	  属性:decodeURIComponent	  属性类型:string	  属性值类型:function
方法:get  	对象:window	  属性:CanvasRenderingContext2D	  属性类型:string	  属性值类型:function
方法:get  	对象:window	  属性:HTMLCanvasElement	  属性类型:string	  属性值类型:function
方法:get  	对象:window	  属性:navigator	  属性类型:string	  属性值类型:object
方法:get  	对象:window	  属性:location	  属性类型:string	  属性值类型:object
方法:get  	对象:window	  属性:String	  属性类型:string	  属性值类型:function
方法:get  	对象:window	  属性:Date	  属性类型:string	  属性值类型:function
方法:get  	对象:window	  属性:Object	  属性类型:string	  属性值类型:function
方法:get  	对象:window	  属性:screen	  属性类型:string	  属性值类型:object
方法:get  	对象:window	  属性:document	  属性类型:string	  属性值类型:object
方法:get  	对象:window	  属性:openDatabase	  属性类型:string	  属性值类型:undefined
方法:get  	对象:window	  属性:devicePixelRatio	  属性类型:string	  属性值类型:number
方法:get  	对象:window	  属性:AudioContext	  属性类型:string	  属性值类型:function
方法:get  	对象:window	  属性:AudioContext	  属性类型:string	  属性值类型:function
方法:get  	对象:document	  属性:createElement	  属性类型:string	  属性值类型:function
方法:get  	对象:window	  属性:setInterval	  属性类型:string	  属性值类型:function
方法:get  	对象:document	  属性:documentElement	  属性类型:string	  属性值类型:object
方法:get  	对象:window	  属性:window	  属性类型:string	  属性值类型:object
方法:set  	对象:window	  属性:_webmsxyw	  属性类型:string	  属性值类型:function
方法:get  	对象:document	  属性:createElement	  属性类型:string	  属性值类型:function
